Kasus_ID,Faithfulness_Baseline,Faithfulness_TAdaptive
CASE_182,1.0,0.8571428571428571
CASE_183,0.75,0.7142857142857143
CASE_184,0.5,0.7
CASE_185,0.5909090909090909,0.8333333333333334
CASE_186,0.75,0.6666666666666666
CASE_187,0.5714285714285714,0.7142857142857143
CASE_188,0.5,0.6363636363636364
CASE_189,0.8888888888888888,0.4444444444444444
CASE_190,0.625,0.42857142857142855
CASE_191,0.6153846153846154,0.8571428571428571
CASE_192,0.8888888888888888,0.75
CASE_193,1.0,0.8333333333333334
CASE_194,0.9166666666666666,0.5
CASE_195,0.9090909090909091,0.5
CASE_196,0.7142857142857143,0.8888888888888888
CASE_197,0.5454545454545454,0.5
CASE_198,0.5,0.25
CASE_199,0.7142857142857143,1.0
CASE_200,0.95,0.5714285714285714
