Kasus_ID,Specialty,Dataset,Mode,P_original,P_masked,Delta_P,Masked_Tokens
CASE_010,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.273079,0.134814,0.138265,"['.,', ':,', ':,', ',', 'PLAN']"
CASE_010,Consult - History and Phy.,B_NOISY,BASELINE,0.696169,0.725812,-0.029643,"[' don', 'Doctor', '.', '?', ',']"
CASE_010,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.775106,0.659389,0.115717,"[' don', 'Doctor', '.', '?', ' can']"
CASE_011,Consult - History and Phy.,A_CLEAN,BASELINE,0.373937,0.224362,0.149576,"[',', ':,', '.,', 'A', ':,']"
CASE_011,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.266986,0.216704,0.050282,"[',', ':,', '.,', '.,', '.,']"
CASE_011,Consult - History and Phy.,B_NOISY,BASELINE,0.722379,0.623847,0.098532,"[' don', ' couldn', ' don', ' don', 'Doctor']"
CASE_011,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.731754,0.674195,0.057559,"[' couldn', ' don', ' don', ' don', 'Doctor']"
CASE_012,Consult - History and Phy.,A_CLEAN,BASELINE,0.342308,0.194602,0.147706,"[',', ' ', ':,', '.,', '.']"
CASE_012,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.272713,0.212328,0.060385,"[',', ' ', ':,', ' bleed', '.']"
CASE_012,Consult - History and Phy.,B_NOISY,BASELINE,0.683581,0.619524,0.064056,"[' haven', 'Doctor', ' don', '?', ' haven']"
CASE_012,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.732245,0.534968,0.197277,"[' haven', 'Doctor', ' don', ' haven', '?']"
CASE_013,Consult - History and Phy.,A_CLEAN,BASELINE,0.48242,0.314991,0.167429,"['PLAN', ':,', ':,', 'A', '."",']"
CASE_013,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.410782,0.146321,0.26446,"[':,', 'PLAN', ':,', 'MENT', 'F']"
CASE_013,Consult - History and Phy.,B_NOISY,BASELINE,0.617437,0.601064,0.016374,"[' don', ' don', ' don', 'Hi', '?']"
CASE_013,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.755238,0.595509,0.159729,"[' don', ' don', 'Hi', ' don', '?']"
CASE_014,Consult - History and Phy.,A_CLEAN,BASELINE,0.102191,0.452151,-0.34996,"[' no', ' is', ' point', ' there', ',']"
CASE_014,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.108306,0.233609,-0.125303,"[' no', ' is', ' point', ' there', ' this']"
CASE_014,Consult - History and Phy.,B_NOISY,BASELINE,0.598848,0.655982,-0.057134,"[' don', 'Doc', '.', '?', '.']"
CASE_014,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.770914,0.626164,0.14475,"[' don', 'Doc', '.', '.', '?']"
CASE_015,Consult - History and Phy.,A_CLEAN,BASELINE,0.261212,0.158674,0.102538,"[':,', '.,', 'A', ',', ',']"
CASE_015,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.184858,0.11714,0.067718,"[':,', ',', ',', '.,', '.,']"
CASE_015,Consult - History and Phy.,B_NOISY,BASELINE,0.685126,0.63042,0.054706,"[' don', 'Look', ' don', ' Doc', ' doesn']"
CASE_015,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.721135,0.592243,0.128892,"['Look', ' don', ' don', ' doesn', ' Doc']"
CASE_016,Consult - History and Phy.,A_CLEAN,BASELINE,0.979972,0.285831,0.694141,"['.', ' ', ' lesion', ' without', 'ix']"
CASE_016,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.953233,0.078906,0.874327,"['.', ' ', ' lesion', ' without', '.']"
CASE_016,Consult - History and Phy.,B_NOISY,BASELINE,0.622166,0.680584,-0.058419,"[' don', ' don', ' used', 'Hi', ' won']"
CASE_016,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.743488,0.600447,0.143041,"[' don', ' don', 'Hi', ' used', ' won']"
CASE_017,Consult - History and Phy.,A_CLEAN,BASELINE,0.398448,0.193141,0.205307,"[',', ':,', '.,', ':,', 'IVE']"
CASE_017,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.257173,0.124128,0.133045,"[':,', ',', ':,', '.', 'IVE']"
CASE_017,Consult - History and Phy.,B_NOISY,BASELINE,0.662173,0.649577,0.012596,"[' hasn', ' don', 'Hi', ' don', ' don']"
CASE_017,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.74574,0.610477,0.135262,"[' don', ' hasn', 'Hi', ' don', ' ']"
CASE_018,Consult - History and Phy.,A_CLEAN,BASELINE,0.384657,0.583743,-0.199086,"[' that', ' believes', ' the', ' service', ' once']"
CASE_018,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.309035,0.772151,-0.463116,"[' that', ' believes', ' the', ' service', ' once']"
CASE_018,Consult - History and Phy.,B_NOISY,BASELINE,0.715118,0.701438,0.01368,"[' don', ' don', ' don', ' don', ' don']"
CASE_018,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.799994,0.551218,0.248776,"[' don', ' don', ' don', ' don', 'I']"
CASE_019,Consult - History and Phy.,A_CLEAN,BASELINE,0.439543,0.420584,0.018959,"[',', ':,', '.', ',', '.,']"
CASE_019,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.34838,0.213562,0.134818,"[',', ' of', ':,', '.,', ',']"
CASE_019,Consult - History and Phy.,B_NOISY,BASELINE,0.7238,0.77624,-0.05244,"[' don', ' wouldn', ' won', ' It', ' echo']"
